panel,date,t,value
4a,1993-01-27 01:30:00,0.0740930869267625,0.433944821357727
4a,1993-02-07 18:00:00,0.106091718001369,0.517551243305206
4a,1993-03-13 15:00:00,0.201574264202601,0.839152872562408
4a,1993-04-05 13:30:00,0.264373716632444,0.39302396774292
4a,1993-05-21 13:30:00,0.39031485284052,0.281313210725784
4a,1993-06-15 01:30:00,0.457392197125257,0.28658926486969
4a,1993-07-28 01:30:00,0.575119780971937,0.201365292072296
4a,1993-08-24 06:00:00,0.649555099247091,0.249885275959969
4a,1993-09-20 10:30:00,0.723990417522245,0.290646255016327
4a,1993-10-24 01:30:00,0.816050650239562,0.403474032878876
4a,1993-11-27 13:30:00,0.910506502395619,0.408173441886902
4a,1993-12-14 22:30:00,0.95807665982204,0.297701269388199
4a,1994-01-04 04:30:00,0.0114647501711157,0.346987247467041
4a,1994-02-23 04:30:00,0.148357289527721,0.235137552022934
4a,1994-03-27 04:30:00,0.23870636550308,0.237612590193748
4a,1994-04-24 01:30:00,0.315023956194387,0.302651137113571
4a,1994-05-21 12:00:00,0.390143737166324,0.400279939174652
4a,1994-06-05 01:30:00,0.430013689253936,0.202727675437927
4a,1994-07-20 15:00:00,0.554757015742642,0.074502557516098
4a,1994-08-09 01:30:00,0.607973990417522,0.294779002666473
4a,1994-09-21 16:30:00,0.72741273100616,0.275789260864258
4a,1994-10-13 04:30:00,0.7862765229295,0.566404700279236
4a,1994-11-11 22:30:00,0.86772758384668,0.414066791534424
4a,1994-12-24 13:30:00,0.984428473648186,0.386296272277832
4a,1995-01-20 01:30:00,0.0549281314168378,0.364591956138611
4a,1995-02-21 00:00:00,0.142368240930869,0.23966658115387
4a,1995-03-19 13:30:00,0.217830253251198,0.293942600488663
4a,1995-04-06 15:00:00,0.267282683093771,0.408409118652344
4a,1995-05-20 21:00:00,0.388432580424367,0.297001510858536
4a,1995-06-06 04:30:00,0.433093771389459,0.428447484970093
4a,1995-07-21 01:30:00,0.555954825462012,0.257802307605743
4a,1995-08-02 15:00:00,0.590349075975359,0.354032099246979
4a,1995-09-29 04:30:00,0.747946611909651,0.354109227657318
4a,1995-10-01 04:30:00,0.753422313483915,0.325459837913513
4a,1995-11-11 13:30:00,0.866700889801506,0.192891955375671
4a,1995-12-09 00:00:00,0.941820670773443,0.22768560051918
4a,1996-01-02 13:30:00,0.00701574264202601,0.348271071910858
4a,1996-02-03 04:30:00,0.0936002737850787,0.378627121448517
4a,1996-03-19 12:00:00,0.217659137577002,0.434846043586731
4a,1996-04-01 06:00:00,0.252566735112936,0.31782990694046
4a,1996-05-31 06:00:00,0.416837782340862,0.320532023906708
4a,1996-06-27 10:30:00,0.491273100616016,0.264134496450424
4a,1996-07-12 06:00:00,0.531827515400411,0.478351175785065
4a,1996-08-31 04:30:00,0.66854893908282,0.304204106330872
4a,1996-09-05 09:00:00,0.682751540041068,0.341075599193573
4a,1996-10-08 07:30:00,0.772929500342231,0.873640537261963
4a,1996-11-21 13:30:00,0.894079397672827,0.362579762935638
4a,1996-12-17 13:30:00,0.965263518138262,0.235528826713562
4a,1997-01-09 13:30:00,0.0261806981519507,0.288364291191101
4a,1997-02-13 22:30:00,0.123032169746749,0.414609432220459
4a,1997-03-14 01:30:00,0.202772073921971,0.284978181123734
4a,1997-04-27 13:30:00,0.32460643394935,0.293573826551437
4a,1997-05-28 06:00:00,0.408624229979466,0.383918881416321
4a,1997-06-06 16:30:00,0.434462696783025,0.510439395904541
4a,1997-07-03 13:30:00,0.508042436687201,0.235590860247612
4a,1997-08-28 10:30:00,0.661019849418207,0.254902184009552
4a,1997-09-02 04:30:00,0.674024640657084,0.246544897556305
4a,1997-10-19 04:30:00,0.802703627652293,0.362484335899353
4a,1997-11-09 13:30:00,0.861225188227242,0.267404735088348
4a,1997-12-29 15:00:00,0.998288843258042,0.429213225841522
4a,1998-01-27 15:00:00,0.0756331279945243,0.423564851284027
4a,1998-02-03 12:00:00,0.0944558521560575,0.642825722694397
4a,1998-03-08 10:30:00,0.187371663244353,0.26102602481842
4a,1998-04-06 01:30:00,0.26574264202601,0.272150754928589
4a,1998-05-15 01:30:00,0.372518822724162,0.349044770002365
4a,1998-06-15 06:00:00,0.457905544147844,0.168007165193558
4a,1998-07-12 19:30:00,0.533367556468172,0.302923738956451
4a,1998-08-26 06:00:00,0.655030800821355,0.368024528026581
4a,1998-09-24 04:30:00,0.73425735797399,0.345388323068619
4a,1998-10-17 12:00:00,0.798083504449008,0.238760426640511
4a,1998-11-06 00:00:00,0.851471594798084,0.363702833652496
4a,1998-12-15 10:30:00,0.959445585215606,0.272911310195923
4a,1999-01-31 19:30:00,0.08709787816564,0.341735482215881
4a,1999-02-01 04:30:00,0.0881245722108145,0.424607992172241
4a,1999-03-14 19:30:00,0.20482546201232,0.327688157558441
4a,1999-04-30 21:00:00,0.333675564681725,0.450061142444611
4a,1999-05-01 04:30:00,0.334531143052704,0.484555780887604
4a,1999-06-19 10:30:00,0.46937029431896,0.299057632684708
4a,1999-07-13 16:30:00,0.535763175906913,0.158757835626602
4a,1999-08-29 21:00:00,0.664955509924709,0.356217563152313
4a,1999-09-15 21:00:00,0.711498973305955,0.746435046195984
4a,1999-10-17 13:30:00,0.798254620123203,0.570603966712952
4a,1999-11-02 12:00:00,0.841889117043121,0.411293506622314
4a,1999-12-19 10:30:00,0.970396988364134,0.32764732837677
4a,2000-01-25 00:00:00,0.0684462696783025,0.413080453872681
