panel,t,z50
4a,0,0.649352825799347
4a,0.005,0.648571941486766
4a,0.01,0.64793431715886
4a,0.015,0.647442293512335
4a,0.02,0.647097577573589
4a,0.025,0.646901236193544
4a,0.03,0.646853692127009
4a,0.035,0.646954722711751
4a,0.04,0.647203461152159
4a,0.045,0.647598400402018
4a,0.05,0.648137399630631
4a,0.055,0.648817693246247
4a,0.06,0.649635902440618
4a,0.065,0.650588049208505
4a,0.07,0.651669572786134
4a,0.075,0.652875348442979
4a,0.08,0.654199708551948
4a,0.085,0.655636465853976
4a,0.09,0.657178938824316
4a,0.095,0.658819979039498
4a,0.1,0.660552000435957
4a,0.105,0.662367010343829
4a,0.11,0.664256642172356
4a,0.115,0.666212189616783
4a,0.12,0.668224642250568
4a,0.125,0.670284722361237
4a,0.13,0.672382922883229
4a,0.135,0.674509546276751
4a,0.14,0.676654744197843
4a,0.145,0.67880855780173
4a,0.15,0.680960958518975
4a,0.155,0.683101889142058
4a,0.16,0.685221305058739
4a,0.165,0.687309215467964
4a,0.17,0.68935572441408
4a,0.175,0.691351071475858
4a,0.18,0.693285671948103
4a,0.185,0.695150156355659
4a,0.19,0.696935409142173
4a,0.195,0.698632606379269
4a,0.2,0.700233252345576
4a,0.205,0.701729214829532
4a,0.21,0.703112759014888
4a,0.215,0.7043765798134
4a,0.22,0.705513832515346
4a,0.225,0.706518161635089
4a,0.23,0.70738372783604
4a,0.235,0.708105232826953
4a,0.24,0.708677942129461
4a,0.245,0.709097705625162
4a,0.25,0.709360975799347
4a,0.255,0.709464823607505
4a,0.26,0.709406951900164
4a,0.265,0.709185706351237
4a,0.27,0.708800083844908
4a,0.275,0.708249738286125
4a,0.28,0.707534983809939
4a,0.285,0.706656795375211
4a,0.29,0.705616806738524
4a,0.295,0.704417305814506
4a,0.3,0.703061227439092
4a,0.305,0.701552143562502
4a,0.31,0.699894250908913
4a,0.315,0.698092356149759
4a,0.32,0.696151858647493
4a,0.325,0.694078730836198
4a,0.33,0.691879496314825
4a,0.335,0.689561205737861
4a,0.34,0.687131410596966
4a,0.345,0.684598134995464
4a,0.35,0.681969845525525
4a,0.355,0.679255419365395
4a,0.36,0.676464110721084
4a,0.365,0.673605515743505
4a,0.37,0.670689536058087
4a,0.375,0.667726341049421
4a,0.38,0.664726329048438
4a,0.385,0.661700087573983
4a,0.39,0.658658352784451
4a,0.395,0.655611968298264
4a,0.4,0.65257184354456
4a,0.405,0.649548911807307
4a,0.41,0.646554088127357
