lon,lat,MOM
72.75,-69.0622787475586,0.7435306
72.75,18.4240283966064,0.531119
72.75,18.6610488891602,0.5638194
72.75,18.897741317749,0.5914872
72.75,19.1340980529785,0.670579
72.75,19.3701171875,0.7553927
72.75,20.3107452392578,1.026993
72.75,20.5450210571289,1.169829
72.75,20.778923034668,1.350083
72.75,21.012414932251,1.454868
73,-69.1514358520508,0.7316414
73,17.2340850830078,0.418005
73,17.4727058410645,0.4552898
73,17.7110137939453,0.5004349
73,17.9490070343018,0.510547
73,18.1866779327393,0.5450401
73.25,-69.240234375,0.7198027
73.25,-53.1625823974609,0.5250757
73.25,16.0364284515381,0.360676
73.25,16.276554107666,0.3715148
73.25,16.5163860321045,0.3620048
73.25,16.7559223175049,0.4030006
73.25,16.9951572418213,0.4544232
73.5,-69.3286666870117,0.7095711
73.5,-53.3122062683105,0.4968675
73.5,-53.0124320983887,0.4832183
73.5,15.7960119247437,0.4663891
73.75,-69.5044479370117,0.6974974
73.75,-69.4167327880859,0.7015059
73.75,-53.1625823974609,0.4827133
73.75,15.0730667114258,0.4476141
73.75,15.3143272399902,0.5100686
73.75,15.5553112030029,0.5711626
74,-69.6788024902344,0.6824775
74,-69.5918045043945,0.6862811
74,14.8315315246582,0.5146577
74.25,-69.6788024902344,0.6778089
74.25,14.1053228378296,0.4360292
74.25,14.3476552963257,0.4861842
74.25,14.5897264480591,0.5292922
74.5,-69.6788024902344,0.6809993
74.5,13.3767938613892,0.3157263
74.5,13.6198883056641,0.3652071
74.5,13.8627319335938,0.431334
74.75,-69.6788024902344,0.6826187
74.75,12.6460552215576,0.2431586
74.75,12.8898735046387,0.2847061
74.75,13.1334543228149,0.3323904
75,-69.6788024902344,0.6843259
75,-69.5918045043945,0.6919481
75,12.1577243804932,0.2177415
75,12.4020042419434,0.2367623
75.25,-69.5044479370117,0.69594
75.25,11.9132204055786,0.2299734
75.5,-69.5044479370117,0.7023624
75.5,11.4235544204712,0.2296192
75.5,11.6684951782227,0.2489367
75.75,-69.5044479370117,0.7003909
75.75,-69.4167327880859,0.6915435
75.75,10.687479019165,0.1830009
75.75,10.9330415725708,0.1985949
75.75,11.1784019470215,0.2328129
76,-69.3286666870117,0.6765125
76,9.94961357116699,0.1771816
76,10.1957597732544,0.1805169
76,10.4417161941528,0.1977418
76.25,-69.3286666870117,0.6697623
76.25,9.21007823944092,0.1342262
76.25,9.45676803588867,0.1529759
76.25,9.70328140258789,0.1940439
76.5,-69.3286666870117,0.6660529
76.5,8.71618556976318,0.1142786
76.5,8.96321582794189,0.1290044
76.75,-69.240234375,0.6631456
76.75,8.46899127960205,0.1046339
77,-69.1514358520508,0.6583107
77,8.22163867950439,0.1095806
77.25,-69.1514358520508,0.6506082
77.25,7.97413206100464,0.1209431
77.5,-69.1514358520508,0.6358892
77.5,7.97413206100464,0.1185062
77.75,-69.0622787475586,0.6379699
77.75,-68.9727630615234,0.6453787
77.75,-68.8828735351562,0.6396649
77.75,-68.7926254272461,0.6518627
77.75,-68.7020034790039,0.6559963
77.75,-68.6110153198242,0.6535701
77.75,-68.5196533203125,0.6442873
77.75,7.97413206100464,0.1076883
78,-68.4279251098633,0.6639375
78,8.22163867950439,0.1319885
78.25,-68.3358154296875,0.6737859
78.25,8.46899127960205,0.1185533
78.25,8.71618556976318,0.1284077
78.5,-68.3358154296875,0.702455
78.5,8.96321582794189,0.1314066
78.75,-68.2433395385742,0.6703464
78.75,-68.1504821777344,0.6628401
