station,lon,lat,MAE
ACoruna,-8.39,43.36,5.43049816452902
Aarhus,10.2167,56.150002,15.1048900989317
Abashiri,144.283,44.017,8.93589293899179
Aberdeen,-2.080222,57.144028,8.01358332503639
Aburatsu,131.417,31.567,23.013951988003
Adak Alaska,-176.635,51.858,3.34930869406122
Almeria,-2.48,36.83,5.2678849973383
Ancona,13.50651667,43.62476667,17.3016923775109
Andenes,16.15,69.317,14.8958275555863
Apia,-171.75,-13.817,9.90517692828665
Arica,-70.3233333333333,-18.4758333333333,24.6583100410688
Atlantic City,-74.418,39.355,13.6702994797386
Balboa,-79.573,8.962,31.6872181251447
Baltra,-90.285,-0.435,16.7929994906743
Bamfield,-125.133,48.833,27.0776966268571
Barcelona,2.163,41.342,8.94055880914746
Benoa,115.21,-8.745,40.7177012162696
Bilbao,-3.05,43.357,11.8502217978593
Bluff,168.333,-46.6,2.35898057325709
Bonanza,-6.34,36.8,22.9550697605985
Booby Island,141.917,-10.6,11.0538210287057
Brest,-4.5,48.383,7.47182265658396
Brisbane,153.167,-27.367,26.3215861433501
Broome,122.217,-18,19.034942314151
Bundaberg,152.35,-24.833,20.3614782577878
Cabo San Lucas,-109.908,22.88,15.7079282178661
Calais,1.86772001,50.9693985,15.5364122584672
Callao,-77.15,-12.05,20.3196430266747
Cape Town,18.417,-33.9,16.5547301386497
Carnarvon,113.617,-24.883,23.0939394039546
Castletownbere,-9.18299999999999,51.533,13.4722101856073
Catania,15.093825,37.49808056,9.70012538115759
Charleston SC,-79.933,32.783,19.6981561949027
Cherbourg,-1.635508,49.651447,4.20333946772482
Chittagong,91.827,22.237,51.6468954177656
Churchill,-94.2,58.783,13.6904802702367
Colombo,79.858,6.963,22.4642209093702
Coquimbo,-71.3352777777778,-29.9497222222222,16.6893783301456
Crescent City,-124.183,41.745,37.6222036143694
Cristobal,-79.9,9.35,13.373197855168
Cromer,1.301639,52.934194,23.9543780154262
Cuxhaven,8.717,53.867,53.3223742557548
Dakar,-17.4200000000001,14.677,21.3224025434577
Darwin,130.85,-12.467,23.4754327994455
Davao,125.633,7.083,14.4681005001739
Davis,77.967,-68.45,-2.13853995365241
Duck Pier,-75.74,36.183,27.8005441651618
Dunkerque,2.366698,51.048091,27.1579044177748
Durban,31,-29.883,20.569841875429
Dutch Harbor,-166.538,53.88,8.95760061305121
East London,27.917,-33,35.687033628395
El Hierro,-17.9,27.78,8.09961873053216
Esperance,121.9,-33.867,19.0977222802565
Faraday,-64.267,-65.25,10.5858713497262
Ferrol,-8.33,43.46,6.3061105851623
Fort Denison,151.233,-33.85,18.0985677365789
Fort Pulaski,-80.902,32.033,32.8217821583511
Fort de France,-61.067,14.6,14.2900404772621
Fremantle,115.733,-32.05,32.1386945956402
Funchal,-16.9069999999999,32.64,23.380612415159
Galveston Pier 21,-94.793,29.31,26.483896877162
Galveston Pier,-94.788,29.285,33.5464143545079
Gandia,-0.15,39,10.0743311932291
Genova,8.92551667,44.41012778,9.57677973951391
Gijon,-5.7,43.56,5.60923885001248
Gomera,-17.11,28.09,6.60202643090225
Goteborgorsh,11.8,57.683,15.633629044646
Guam,144.65,13.433,16.0360549549661
Hakodate,140.733,41.783,7.12506090114973
Halifax,-63.583,44.667,20.4445362893734
Hamada,132.067,34.9,16.7610753698118
Helgeroa,9.856379,58.995212,15.3904867142884
Helgoland,7.889923,54.178909,36.7042157828079
Hilo Hawaii,-155.067,19.733,13.3815751264209
Hong Kong,114.217,22.3,33.466928131411
Honiara,159.957,-9.425,18.1769513661959
Honningsvag,25.983,70.983,8.69527113824501
Honolulu Hawaii,-157.867,21.307,11.5209862607116
Huelva,-6.83,37.13,19.2766972630824
Ilha Fiscal,-43.165,-22.897,37.71684207114
Imbituba,-48.6502777777778,-28.2311111111111,45.3006836313944
Imperia,8.01886389,43.87833889,4.82557347862217
