station,lon,lat,Dif_Pearson,Dif_RMSE,NBias_Unfiltered
ACoruna,-8.39,43.36,-0.127723987996723,2.71163938712118,-0.585020274558952
Aarhus,10.2167,56.150002,-0.0857519568223893,3.72377067706902,-0.285914641333031
Abashiri,144.283,44.017,-0.0366971348071751,0.552160834509072,-0.392030949603071
Aberdeen,-2.080222,57.144028,-0.0763449366843364,2.88553820636785,-0.0878736054771665
Aburatsu,131.417,31.567,-0.0387987571755013,0.39959808457073,1.33912851571913
Adak Alaska,-176.635,51.858,-0.0257668156691866,0.920486057910376,0.257417541234488
Almeria,-2.48,36.83,-0.00226417387542754,0.0256370672605835,-0.402364693123122
Ancona,13.50651667,43.62476667,0,0,0.0289280450039994
Andenes,16.15,69.317,-0.0143708688671844,0.423576554818069,-0.291612649328462
Apia,-171.75,-13.817,-0.124145920088842,1.21907812398291,0.210769235919844
Arica,-70.3233333333333,-18.4758333333333,-0.105720545643586,1.45649226545827,8.45116166803497
Atlantic City,-74.418,39.355,-0.0285616283279847,0.981481448203089,-2.25800321252054
Balboa,-79.573,8.962,-0.0660809041363599,9.39068133969733,-1.07076289555503
Baltra,-90.285,-0.435,-0.15992951985199,3.4360811283739,-1.08877498541025
Bamfield,-125.133,48.833,-0.117377122061478,2.30139064212507,-0.70771870659437
Barcelona,2.163,41.342,0,0,0.61793057711321
Benoa,115.21,-8.745,-0.25919953705816,1.343282457135,-0.94856733819752
Bilbao,-3.05,43.357,-0.165064708818013,3.13282560616639,-0.726153491504396
Bluff,168.333,-46.6,-0.114064039286351,3.22024372722538,-0.367750332088257
Bonanza,-6.34,36.8,-0.114149713868609,1.75879880346098,-1.0953682945782
Booby Island,141.917,-10.6,-0.0086425949107205,0.399062002191238,-0.283067689765803
Brest,-4.5,48.383,-0.229124140891659,7.89774555122156,-0.879208806621981
Brisbane,153.167,-27.367,-0.049617295670372,0.602894501511426,-0.510924661669518
Broome,122.217,-18,-0.159482650384795,10.5083488365034,-4.43388143848671
Bundaberg,152.35,-24.833,-0.11147789665991,2.55534239915898,-0.552106324425686
Cabo San Lucas,-109.908,22.88,-0.119192299408987,1.00217268000273,-0.881453844608361
Calais,1.86772001,50.9693985,-0.293853589138573,16.6527179638882,-1.26826417568831
Callao,-77.15,-12.05,-0.0897168289229145,0.906889824044667,-1.04888035468555
Cape Town,18.417,-33.9,-0.0388720898738755,0.575228118586366,-0.0777917207517955
Carnarvon,113.617,-24.883,0.00405624309878716,-0.0994112496451844,-0.669190209149404
Castletownbere,-9.18299999999999,51.533,-0.190052365440288,4.68882025087058,-0.663319499925577
Catania,15.093825,37.49808056,0,0,5.88209519480121
Charleston SC,-79.933,32.783,-0.0705833411068939,1.55282149211559,1.51834829684049
Cherbourg,-1.635508,49.651447,-0.209576124314962,7.98704286162213,-0.902382118901965
Chittagong,91.827,22.237,-0.132553357551282,2.31634712419241,-0.244458337572987
Churchill,-94.2,58.783,-0.0960047013866282,3.20614077537802,-0.036706889994846
Colombo,79.858,6.963,0.00848750422361683,0.114384582422501,-0.881592235268662
Coquimbo,-71.3352777777778,-29.9497222222222,-0.161929883889313,1.90737408281881,43.0787536960811
Crescent City,-124.183,41.745,-0.124291254413407,1.41016748053158,-0.948851667163432
Cristobal,-79.9,9.35,-0.0189707732897674,0.11821279703029,-1.31613974124185
Cromer,1.301639,52.934194,-0.131832754596157,6.84844635273485,-0.021529623796599
Cuxhaven,8.717,53.867,-0.195697440101479,17.6185751362939,-0.865544760736713
Dakar,-17.4200000000001,14.677,-0.130440401597983,0.528682229472189,-1.18779347807357
Darwin,130.85,-12.467,-0.131789333666653,5.43681280017075,-0.193187992277351
Davao,125.633,7.083,-0.105512168239636,0.944197466238769,-0.830777143704342
Davis,77.967,-68.45,-0.0404942294431193,1.02426921345134,0.296170847705538
Duck Pier,-75.74,36.183,-0.0330575081857257,0.643937323127366,0.181782476892464
Dunkerque,2.366698,51.048091,-0.292452736441363,17.4376104904518,-1.12108283556635
Durban,31,-29.883,-0.0324016420672489,0.40445862777154,-1.88310048693929
Dutch Harbor,-166.538,53.88,-0.0513637676698807,1.70671337789259,-0.136400542554674
East London,27.917,-33,-0.0267408782652307,0.272138145160778,-1.20316827163656
El Hierro,-17.9,27.78,-0.111093057421196,0.871308886765163,-4.73906623251545
Esperance,121.9,-33.867,-0.000909662449885995,0.00981799116003668,0.0858506373353932
Faraday,-64.267,-65.25,-0.0310792349141192,0.915748294125741,-1.45955728262289
Ferrol,-8.33,43.46,-0.130014366209051,2.738457818901,-0.605770724576202
Fort Denison,151.233,-33.85,-0.0221124284113529,0.26893075664034,-0.17568370908006
Fort Pulaski,-80.902,32.033,-0.086979402690965,2.11401079736176,-0.480893162315494
Fort de France,-61.067,14.6,-0.00574185588816323,0.0244961131726669,-1.13452953379636
Fremantle,115.733,-32.05,0.00022815261600706,-0.0331221070112306,0.0712006040496441
Funchal,-16.9069999999999,32.64,-0.100940914894692,0.970670269877292,-0.494421822181774
Galveston Pier 21,-94.793,29.31,-0.00210188920362953,0.0493918572274854,-5.40639164000326
Galveston Pier,-94.788,29.285,-0.00257268869999994,0.0576901243221943,-1.965529958414
Gandia,-0.15,39,0,0,-2.22692148546223
Genova,8.92551667,44.41012778,0,0,0.125536419873443
Gijon,-5.7,43.56,-0.140836652893948,3.20722456238715,-0.642842380400643
Gomera,-17.11,28.09,-0.12120531620486,0.981926349149472,0.767989104146546
Goteborgorsh,11.8,57.683,-0.0154331260392456,0.626220823028216,-0.0260953918286789
Guam,144.65,13.433,-0.0331566783259906,0.119861814001962,-2.19762352212078
Hakodate,140.733,41.783,-0.0103621847328088,0.153620595804787,-3.21353367421153
Halifax,-63.583,44.667,-0.0598143565522813,1.39788627286339,-0.378527469437612
Hamada,132.067,34.9,-0.0019929325985466,0.0261727967550929,0.4391916556403
Helgeroa,9.856379,58.995212,-0.0595358369381325,1.96281894412876,-0.264315051869384
Helgoland,7.889923,54.178909,-0.112532987477356,8.49274741125226,-0.477034737430332
Hilo Hawaii,-155.067,19.733,-0.0366601003876472,0.137118269422743,-3.55026114544135
Hong Kong,114.217,22.3,-0.0302726730352552,0.340747649054329,-0.849356791031734
