station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
ACoruna,-8.39,43.36,0.0855863764164379,0.0533647545653018,0.0353168121118781,0.0374703269129828,0.0267054268895612,0.0382293419162193,NaN,NaN
Aarhus,10.2167,56.150002,0.218781528063861,0.197556977557751,NaN,NaN,0.0801627685616215,0.0748916444805667,NaN,NaN
Abashiri,144.283,44.017,0.0821793307550414,0.0501640465804125,0.0353349729077864,0.0117402018637671,0.0241837694928417,0.0176446638898252,NaN,NaN
Aberdeen,-2.080222,57.144028,0.199728365313028,0.197119013331683,NaN,0.0248706985525699,0.0662133631117239,NaN,NaN,0.0602662326547263
Aburatsu,131.417,31.567,NaN,0.0609506797095397,NaN,NaN,0.0787329627552533,0.0157325314678249,NaN,NaN
Adak Alaska,-176.635,51.858,0.122926850298125,0.125169642701502,0.0152548627099984,NaN,0.0107301074428591,0.0142964431621085,NaN,NaN
Almeria,-2.48,36.83,0.0142864021038084,0.0237725998058774,0.013511806333074,0.0121253786551184,0.0278260707618036,0.0332007602685541,NaN,NaN
Ancona,13.50651667,43.62476667,0.103494812636677,0.0870538813826707,NaN,0.0196459475147064,0.0429148546783756,0.039506686007719,NaN,NaN
Andenes,16.15,69.317,0.203242691535536,0.150000835710506,NaN,NaN,0.0433810033142918,0.0425815866118326,NaN,NaN
Apia,-171.75,-13.817,NaN,NaN,NaN,0.0050580673277152,0.00895889882555886,0.00432636945039371,NaN,NaN
Arica,-70.3233333333333,-18.4758333333333,0.016146828289401,0.0126853793955916,0.0160346590886897,0.00499743883596388,NaN,NaN,NaN,NaN
Atlantic City,-74.418,39.355,0.10172123264488,0.0862360348417557,0.0341635444333108,0.0378931062053509,0.0491350155517549,0.0465308431076087,NaN,NaN
Balboa,-79.573,8.962,0.0582577884371326,0.0178696423212106,0.0236951306029847,NaN,NaN,0.00462745197123644,NaN,NaN
Baltra,-90.285,-0.435,0.0262496731585976,0.0110333830132603,0.0208922447572203,0.00269686571569665,0.0177018659186256,NaN,NaN,NaN
Bamfield,-125.133,48.833,0.200051154548368,0.120717370680743,NaN,0.0226380831135942,0.0600504169954922,0.0397856560245235,NaN,NaN
Barcelona,2.163,41.342,0.0291092018598879,0.0354612929970919,0.0231338065338889,0.0225700682869791,0.039167086350058,0.0385800279451765,NaN,NaN
Benoa,115.21,-8.745,0.123097292428775,0.0223196149807742,0.0842142957146172,0.00312300692144606,0.036497836090789,0.00144491024067241,NaN,NaN
Bilbao,-3.05,43.357,0.076593367596273,0.0423834390568592,0.0201338378235472,0.0256075863368339,NaN,0.0335254033165434,0.0215119448219495,NaN
Bluff,168.333,-46.6,0.0404611095998577,0.0362695179667238,NaN,0.0179641990892469,NaN,NaN,NaN,NaN
Bonanza,-6.34,36.8,0.0542048907432863,0.0205047001713949,0.0177097342138159,0.0172089952779498,0.0557773312305071,0.0344047268459161,NaN,NaN
Booby Island,141.917,-10.6,0.312124442076836,0.279653198180496,0.0397364484317157,0.0821404884944356,0.0617998330239573,0.0686342627440217,NaN,NaN
Brest,-4.5,48.383,0.138507066687868,0.096132338250518,0.0294723005588637,0.0319030477859154,0.0470989616333545,0.0606395461913239,NaN,NaN
Brisbane,153.167,-27.367,0.0116025631173159,0.0126440235974234,0.0248899906782566,0.00903326721121433,0.0167599616213314,0.00598948604754198,NaN,NaN
Broome,122.217,-18,0.101064760675367,0.0314619973007436,0.0442685876570125,0.0166157342308698,0.0193503060237842,0.0176488779412885,NaN,NaN
